0,0.0025,0.01,0.0225,0.04,0.0625,0.09,0.1225,0.16,0.2025,0.25,0.3025,0.36,0.4225,0.49,0.5625,0.64,0.7225,0.81,0.9025,1,
0.0025,0.005,0.0125,0.025,0.0425,0.065,0.0925,0.125,0.1625,0.205,0.2525,0.305,0.3625,0.425,0.4925,0.565,0.6425,0.725,0.8125,0.905,1.0025,
0.01,0.0125,0.02,0.0325,0.05,0.0725,0.1,0.1325,0.17,0.2125,0.26,0.3125,0.37,0.4325,0.5,0.5725,0.65,0.7325,0.82,0.9125,1.01,
0.0225,0.025,0.0325,0.045,0.0625,0.085,0.1125,0.145,0.1825,0.225,0.2725,0.325,0.3825,0.445,0.5125,0.585,0.6625,0.745,0.8325,0.925,1.0225,
0.04,0.0425,0.05,0.0625,0.08,0.1025,0.13,0.1625,0.2,0.2425,0.29,0.3425,0.4,0.4625,0.53,0.6025,0.68,0.7625,0.85,0.9425,1.04,
0.0625,0.065,0.0725,0.085,0.1025,0.125,0.1525,0.185,0.2225,0.265,0.3125,0.365,0.4225,0.485,0.5525,0.625,0.7025,0.785,0.8725,0.965,1.0625,
0.09,0.0925,0.1,0.1125,0.13,0.1525,0.18,0.2125,0.25,0.2925,0.34,0.3925,0.45,0.5125,0.58,0.6525,0.73,0.8125,0.9,0.9925,1.09,
0.1225,0.125,0.1325,0.145,0.1625,0.185,0.2125,0.245,0.2825,0.325,0.3725,0.425,0.4825,0.545,0.6125,0.685,0.7625,0.845,0.9325,1.025,1.1225,
0.16,0.1625,0.17,0.1825,0.2,0.2225,0.25,0.2825,0.32,0.3625,0.41,0.4625,0.52,0.5825,0.65,0.7225,0.8,0.8825,0.97,1.0625,1.16,
0.2025,0.205,0.2125,0.225,0.2425,0.265,0.2925,0.325,0.3625,0.405,0.4525,0.505,0.5625,0.625,0.6925,0.765,0.8425,0.925,1.0125,1.105,1.2025,
0.25,0.2525,0.26,0.2725,0.29,0.3125,0.34,0.3725,0.41,0.4525,0.5,0.5525,0.61,0.6725,0.74,0.8125,0.89,0.9725,1.06,1.1525,1.25,
0.3025,0.305,0.3125,0.325,0.3425,0.365,0.3925,0.425,0.4625,0.505,0.5525,0.605,0.6625,0.725,0.7925,0.865,0.9425,1.025,1.1125,1.205,1.3025,
0.36,0.3625,0.37,0.3825,0.4,0.4225,0.45,0.4825,0.52,0.5625,0.61,0.6625,0.72,0.7825,0.85,0.9225,1,1.0825,1.17,1.2625,1.36,
0.4225,0.425,0.4325,0.445,0.4625,0.485,0.5125,0.545,0.5825,0.625,0.6725,0.725,0.7825,0.845,0.9125,0.985,1.0625,1.145,1.2325,1.325,1.4225,
0.49,0.4925,0.5,0.5125,0.53,0.5525,0.58,0.6125,0.65,0.6925,0.74,0.7925,0.85,0.9125,0.98,1.0525,1.13,1.2125,1.3,1.3925,1.49,
0.5625,0.565,0.5725,0.585,0.6025,0.625,0.6525,0.685,0.7225,0.765,0.8125,0.865,0.9225,0.985,1.0525,1.125,1.2025,1.285,1.3725,1.465,1.5625,
0.64,0.6425,0.65,0.6625,0.68,0.7025,0.73,0.7625,0.8,0.8425,0.89,0.9425,1,1.0625,1.13,1.2025,1.28,1.3625,1.45,1.5425,1.64,
0.7225,0.725,0.7325,0.745,0.7625,0.785,0.8125,0.845,0.8825,0.925,0.9725,1.025,1.0825,1.145,1.2125,1.285,1.3625,1.445,1.5325,1.625,1.7225,
0.81,0.8125,0.82,0.8325,0.85,0.8725,0.9,0.9325,0.97,1.0125,1.06,1.1125,1.17,1.2325,1.3,1.3725,1.45,1.5325,1.62,1.7125,1.81,
0.9025,0.905,0.9125,0.925,0.9425,0.965,0.9925,1.025,1.0625,1.105,1.1525,1.205,1.2625,1.325,1.3925,1.465,1.5425,1.625,1.7125,1.805,1.9025,
1,1.0025,1.01,1.0225,1.04,1.0625,1.09,1.1225,1.16,1.2025,1.25,1.3025,1.36,1.4225,1.49,1.5625,1.64,1.7225,1.81,1.9025,2,
0.02,0.0225,0.03,0.0425,0.06,0.0825,0.11,0.1425,0.18,0.2225,0.27,0.3225,0.38,0.4425,0.51,0.5825,0.66,0.7425,0.83,0.9225,1.02,
0.0225,0.025,0.0325,0.045,0.0625,0.085,0.1125,0.145,0.1825,0.225,0.2725,0.325,0.3825,0.445,0.5125,0.585,0.6625,0.745,0.8325,0.925,1.0225,
0.03,0.0325,0.04,0.0525,0.07,0.0925,0.12,0.1525,0.19,0.2325,0.28,0.3325,0.39,0.4525,0.52,0.5925,0.67,0.7525,0.84,0.9325,1.03,
0.0425,0.045,0.0525,0.065,0.0825,0.105,0.1325,0.165,0.2025,0.245,0.2925,0.345,0.4025,0.465,0.5325,0.605,0.6825,0.765,0.8525,0.945,1.0425,
0.06,0.0625,0.07,0.0825,0.1,0.1225,0.15,0.1825,0.22,0.2625,0.31,0.3625,0.42,0.4825,0.55,0.6225,0.7,0.7825,0.87,0.9625,1.06,
0.0825,0.085,0.0925,0.105,0.1225,0.145,0.1725,0.205,0.2425,0.285,0.3325,0.385,0.4425,0.505,0.5725,0.645,0.7225,0.805,0.8925,0.985,1.0825,
0.11,0.1125,0.12,0.1325,0.15,0.1725,0.2,0.2325,0.27,0.3125,0.36,0.4125,0.47,0.5325,0.6,0.6725,0.75,0.8325,0.92,1.0125,1.11,
0.1425,0.145,0.1525,0.165,0.1825,0.205,0.2325,0.265,0.3025,0.345,0.3925,0.445,0.5025,0.565,0.6325,0.705,0.7825,0.865,0.9525,1.045,1.1425,
0.18,0.1825,0.19,0.2025,0.22,0.2425,0.27,0.3025,0.34,0.3825,0.43,0.4825,0.54,0.6025,0.67,0.7425,0.82,0.9025,0.99,1.0825,1.18,
0.2225,0.225,0.2325,0.245,0.2625,0.285,0.3125,0.345,0.3825,0.425,0.4725,0.525,0.5825,0.645,0.7125,0.785,0.8625,0.945,1.0325,1.125,1.2225,
0.27,0.2725,0.28,0.2925,0.31,0.3325,0.36,0.3925,0.43,0.4725,0.52,0.5725,0.63,0.6925,0.76,0.8325,0.91,0.9925,1.08,1.1725,1.27,
0.3225,0.325,0.3325,0.345,0.3625,0.385,0.4125,0.445,0.4825,0.525,0.5725,0.625,0.6825,0.745,0.8125,0.885,0.9625,1.045,1.1325,1.225,1.3225,
0.38,0.3825,0.39,0.4025,0.42,0.4425,0.47,0.5025,0.54,0.5825,0.63,0.6825,0.74,0.8025,0.87,0.9425,1.02,1.1025,1.19,1.2825,1.38,
0.4425,0.445,0.4525,0.465,0.4825,0.505,0.5325,0.565,0.6025,0.645,0.6925,0.745,0.8025,0.865,0.9325,1.005,1.0825,1.165,1.2525,1.345,1.4425,
0.51,0.5125,0.52,0.5325,0.55,0.5725,0.6,0.6325,0.67,0.7125,0.76,0.8125,0.87,0.9325,1,1.0725,1.15,1.2325,1.32,1.4125,1.51,
0.5825,0.585,0.5925,0.605,0.6225,0.645,0.6725,0.705,0.7425,0.785,0.8325,0.885,0.9425,1.005,1.0725,1.145,1.2225,1.305,1.3925,1.485,1.5825,
0.66,0.6625,0.67,0.6825,0.7,0.7225,0.75,0.7825,0.82,0.8625,0.91,0.9625,1.02,1.0825,1.15,1.2225,1.3,1.3825,1.47,1.5625,1.66,
0.7425,0.745,0.7525,0.765,0.7825,0.805,0.8325,0.865,0.9025,0.945,0.9925,1.045,1.1025,1.165,1.2325,1.305,1.3825,1.465,1.5525,1.645,1.7425,
0.83,0.8325,0.84,0.8525,0.87,0.8925,0.92,0.9525,0.99,1.0325,1.08,1.1325,1.19,1.2525,1.32,1.3925,1.47,1.5525,1.64,1.7325,1.83,
0.9225,0.925,0.9325,0.945,0.9625,0.985,1.0125,1.045,1.0825,1.125,1.1725,1.225,1.2825,1.345,1.4125,1.485,1.5625,1.645,1.7325,1.825,1.9225,
1.02,1.0225,1.03,1.0425,1.06,1.0825,1.11,1.1425,1.18,1.2225,1.27,1.3225,1.38,1.4425,1.51,1.5825,1.66,1.7425,1.83,1.9225,2.02,
0.04,0.0425,0.05,0.0625,0.08,0.1025,0.13,0.1625,0.2,0.2425,0.29,0.3425,0.4,0.4625,0.53,0.6025,0.68,0.7625,0.85,0.9425,1.04,
0.0425,0.045,0.0525,0.065,0.0825,0.105,0.1325,0.165,0.2025,0.245,0.2925,0.345,0.4025,0.465,0.5325,0.605,0.6825,0.765,0.8525,0.945,1.0425,
0.05,0.0525,0.06,0.0725,0.09,0.1125,0.14,0.1725,0.21,0.2525,0.3,0.3525,0.41,0.4725,0.54,0.6125,0.69,0.7725,0.86,0.9525,1.05,
0.0625,0.065,0.0725,0.085,0.1025,0.125,0.1525,0.185,0.2225,0.265,0.3125,0.365,0.4225,0.485,0.5525,0.625,0.7025,0.785,0.8725,0.965,1.0625,
0.08,0.0825,0.09,0.1025,0.12,0.1425,0.17,0.2025,0.24,0.2825,0.33,0.3825,0.44,0.5025,0.57,0.6425,0.72,0.8025,0.89,0.9825,1.08,
0.1025,0.105,0.1125,0.125,0.1425,0.165,0.1925,0.225,0.2625,0.305,0.3525,0.405,0.4625,0.525,0.5925,0.665,0.7425,0.825,0.9125,1.005,1.1025,
0.13,0.1325,0.14,0.1525,0.17,0.1925,0.22,0.2525,0.29,0.3325,0.38,0.4325,0.49,0.5525,0.62,0.6925,0.77,0.8525,0.94,1.0325,1.13,
0.1625,0.165,0.1725,0.185,0.2025,0.225,0.2525,0.285,0.3225,0.365,0.4125,0.465,0.5225,0.585,0.6525,0.725,0.8025,0.885,0.9725,1.065,1.1625,
0.2,0.2025,0.21,0.2225,0.24,0.2625,0.29,0.3225,0.36,0.4025,0.45,0.5025,0.56,0.6225,0.69,0.7625,0.84,0.9225,1.01,1.1025,1.2,
0.2425,0.245,0.2525,0.265,0.2825,0.305,0.3325,0.365,0.4025,0.445,0.4925,0.545,0.6025,0.665,0.7325,0.805,0.8825,0.965,1.0525,1.145,1.2425,
0.29,0.2925,0.3,0.3125,0.33,0.3525,0.38,0.4125,0.45,0.4925,0.54,0.5925,0.65,0.7125,0.78,0.8525,0.93,1.0125,1.1,1.1925,1.29,
0.3425,0.345,0.3525,0.365,0.3825,0.405,0.4325,0.465,0.5025,0.545,0.5925,0.645,0.7025,0.765,0.8325,0.905,0.9825,1.065,1.1525,1.245,1.3425,
0.4,0.4025,0.41,0.4225,0.44,0.4625,0.49,0.5225,0.56,0.6025,0.65,0.7025,0.76,0.8225,0.89,0.9625,1.04,1.1225,1.21,1.3025,1.4,
0.4625,0.465,0.4725,0.485,0.5025,0.525,0.5525,0.585,0.6225,0.665,0.7125,0.765,0.8225,0.885,0.9525,1.025,1.1025,1.185,1.2725,1.365,1.4625,
