20,28,36,44,52,60,68,76,84,92,100,
20,26.0423,32.1327,38.3184,44.644,51.1507,57.8753,64.8493,72.0978,79.6393,87.4852,
20,24.1327,28.3607,32.7767,37.4691,42.5194,48,53.9731,60.4886,67.583,75.2786,
20,22.3184,24.7767,27.5114,30.6521,34.3184,38.6171,43.6393,49.4584,56.1279,63.6808,
20,20.644,21.4691,22.6521,24.3607,26.7498,29.9577,34.1024,39.2786,45.5561,52.9772,
20,19.1507,18.5194,18.3184,18.7498,20,22.2351,25.5971,30.2001,36.1279,43.4315,
20,17.8753,16,14.6171,13.9577,14.2351,15.6393,18.3328,22.4463,28.0755,35.2786,
20,16.8493,13.9731,11.6393,10.1024,9.59706,10.3328,12.4886,16.2082,21.5971,28.7195,
20,16.0978,12.4886,9.45835,7.27864,6.20012,6.44633,8.2082,11.6393,16.8522,23.9155,
20,15.6393,11.583,8.12791,5.55611,4.12791,4.07547,5.59706,8.85221,13.9577,20.9849,
20,15.4852,11.2786,7.68076,4.97718,3.43146,3.27864,4.71948,7.91548,12.9849,20,
20,28,36,44,52,60,68,76,84,92,100,
20,26.2263,32.4962,38.8524,45.3353,51.9824,58.8269,65.8972,73.2164,80.801,88.6614,
20,24.4962,29.0786,33.8315,38.8348,44.1622,49.8796,56.0432,62.6982,69.8778,77.602,
20,22.8524,25.8315,29.061,32.6584,36.732,41.3786,46.6806,52.7046,59.4992,67.0941,
20,21.3353,22.8348,24.6584,26.9583,29.8748,33.533,38.04,43.4816,49.921,57.3965,
20,19.9824,20.1622,20.732,21.8748,23.7593,26.5362,30.334,35.2563,41.3789,48.7479,
20,18.8269,17.8796,17.3786,17.533,18.5362,20.5603,23.7525,28.2313,34.0832,41.3613,
20,17.8972,16.0432,14.6806,14.04,14.334,15.7525,18.4575,22.5794,28.2137,35.4186,
20,17.2164,14.6982,12.7046,11.4816,11.2563,12.2313,14.5794,18.4399,23.9147,31.066,
20,16.801,13.8778,11.4992,9.921,9.37888,10.0832,12.2137,15.9147,21.2923,28.4109,
20,16.6614,13.602,11.0941,9.39648,8.74788,9.36128,11.4186,15.066,20.4109,27.5186,
20,28,36,44,52,60,68,76,84,92,100,
20,26.393,32.8255,39.3362,45.9617,52.7359,59.689,66.8467,74.2298,81.8535,89.727,
20,24.8255,29.7291,34.7872,40.0721,45.6507,51.5826,57.9188,64.7002,71.9568,79.707,
20,23.3362,26.7872,30.465,34.4762,38.9188,43.8805,49.4361,55.6458,62.5537,70.1867,
20,21.9617,24.0721,26.4762,29.3117,32.706,36.7723,41.6075,47.2896,53.8757,61.4004,
20,20.7359,21.6507,22.9188,24.706,27.1653,30.433,34.6258,39.8374,46.1363,53.5647,
20,19.689,19.5826,19.8805,20.7723,22.433,25.0188,28.6628,33.4725,39.5264,46.8723,
20,18.8467,17.9188,17.4361,17.6075,18.6258,20.6628,23.8655,28.3518,34.2084,41.488,
20,18.2298,16.7002,15.6458,15.2896,15.8374,17.4725,20.3518,24.6014,30.3135,37.5446,
20,17.8535,15.9568,14.5537,13.8757,14.1363,15.5264,18.2084,22.3135,27.9375,35.139,
20,17.727,15.707,14.1867,13.4004,13.5647,14.8723,17.488,21.5446,27.139,34.3305,
20,28,36,44,52,60,68,76,84,92,100,
20,26.544,33.1238,39.7745,46.5292,53.4186,60.4701,67.707,75.148,82.8071,90.6925,
20,25.1238,30.3185,35.653,41.1931,46.9993,53.1256,59.6181,66.514,73.8405,81.6142,
20,23.7745,27.653,31.7371,36.1231,40.9,46.1473,51.9327,58.3106,65.3211,72.9886,
20,22.5292,25.1931,28.1231,31.444,35.2711,39.7071,44.8398,50.7397,57.4587,65.0281,
20,21.4186,22.9993,24.9,27.2711,30.2511,33.9636,38.5142,43.9879,50.4467,57.9287,
20,20.4701,21.1256,22.1473,23.7071,25.9636,29.0582,33.1117,38.2212,44.4579,51.8653,
20,19.707,19.6181,19.9327,20.8398,22.5142,25.1117,28.7652,33.5818,39.6398,46.9871,
